id;code;name;jhi_type;seq_no;depth;created_by;created_date;last_modified_by;last_modified_date;parent_id
24;MENU:Dashboard;Menu: Dashboard;MAIN_MENU;24;1;system;2019-03-19 13:59:01;null;null;null
25;MENU:ReportConfiguration;Menu: Report Configuration;MAIN_MENU;25;1;system;2019-03-19 13:59:01;null;null;null
26;MENU:ReportCategory;Menu: Report Category;MENU;26;2;system;2019-03-19 13:59:01;null;null;25
27;OPER:ReportCategory.READ;Operation: Read Report Category;OPER;27;3;system;2019-03-19 13:59:01;null;null;26
28;OPER:ReportCategory.CREATE;Operation: Create Report Category;OPER;28;3;system;2019-03-19 13:59:01;null;null;26
29;OPER:ReportCategory.UPDATE;Operation: Update Report Category;OPER;29;3;system;2019-03-19 13:59:01;null;null;26
30;OPER:ReportCategory.DELETE;Operation: Delete Report Category;OPER;30;3;system;2019-03-19 13:59:01;null;null;26
31;MENU:ReportDefinition;Menu: Report Definition;MENU;31;2;system;2019-03-19 13:59:01;null;null;25
32;OPER:ReportDefinition.READ;Operation: Read Report Definition;OPER;32;3;system;2019-03-19 13:59:01;null;null;31
33;OPER:ReportDefinition.CREATE;Operation: Create Report Definition;OPER;33;3;system;2019-03-19 13:59:01;null;null;31
34;OPER:ReportDefinition.UPDATE;Operation: Update Report Definition;OPER;34;3;system;2019-03-19 13:59:01;null;null;31
35;OPER:ReportDefinition.DELETE;Operation: Delete Report Definition;OPER;35;3;system;2019-03-19 13:59:01;null;null;31
36;MENU:GenerateReport;Menu: Generate Report;MAIN_MENU;36;1;system;2019-03-19 13:59:01;null;null;null